group,series,period,value,unit,source
periods,h1_investment,2022 H1,76442,억원,MSS 2026-08-19
periods,h1_investment,2023 H1,44930,억원,MSS 2026-08-19
periods,h1_investment,2024 H1,54856,억원,MSS 2026-08-19
periods,h1_investment,2025 H1,57476,억원,MSS 2026-08-19
periods,h1_investment,2026 H1,88676,억원,MSS 2026-08-19
periods,h1_funds,2022 H1,86921,억원,MSS 2026-08-19
periods,h1_funds,2023 H1,47003,억원,MSS 2026-08-19
periods,h1_funds,2024 H1,51936,억원,MSS 2026-08-19
periods,h1_funds,2025 H1,63431,억원,MSS 2026-08-19
periods,h1_funds,2026 H1,84366,억원,MSS 2026-08-19
periods,annual_investment,2020,80962,억원,MSS 2025-02-12
periods,annual_investment,2021,159371,억원,MSS 2026-02-13
periods,annual_investment,2022,124706,억원,MSS 2026-02-13
periods,annual_investment,2023,109133,억원,MSS 2026-02-13
periods,annual_investment,2024,119457,억원,MSS 2026-02-13
periods,annual_investment,2025,136244,억원,MSS 2026-02-13
periods,annual_funds,2020,99859,억원,MSS 2025-02-12
periods,annual_funds,2021,178493,억원,MSS 2026-02-13
periods,annual_funds,2022,176385,억원,MSS 2026-02-13
periods,annual_funds,2023,130438,억원,MSS 2026-02-13
periods,annual_funds,2024,106404,억원,MSS 2026-02-13
periods,annual_funds,2025,142669,억원,MSS 2026-02-13
sectors_detail,ICT제조,2022 H1,4819,억원,MSS 2026-08-19
sectors_detail,ICT제조,2023 H1,5152,억원,MSS 2026-08-19
sectors_detail,ICT제조,2024 H1,4998,억원,MSS 2026-08-19
sectors_detail,ICT제조,2025 H1,4707,억원,MSS 2026-08-19
sectors_detail,ICT제조,2026 H1,11454,억원,MSS 2026-08-19
sectors_detail,ICT서비스,2022 H1,22490,억원,MSS 2026-08-19
sectors_detail,ICT서비스,2023 H1,9020,억원,MSS 2026-08-19
sectors_detail,ICT서비스,2024 H1,13241,억원,MSS 2026-08-19
sectors_detail,ICT서비스,2025 H1,11466,억원,MSS 2026-08-19
sectors_detail,ICT서비스,2026 H1,18600,억원,MSS 2026-08-19
sectors_detail,전기·기계·장비,2022 H1,6077,억원,MSS 2026-08-19
sectors_detail,전기·기계·장비,2023 H1,6712,억원,MSS 2026-08-19
sectors_detail,전기·기계·장비,2024 H1,9733,억원,MSS 2026-08-19
sectors_detail,전기·기계·장비,2025 H1,8069,억원,MSS 2026-08-19
sectors_detail,전기·기계·장비,2026 H1,15359,억원,MSS 2026-08-19
sectors_detail,화학·소재,2022 H1,5201,억원,MSS 2026-08-19
sectors_detail,화학·소재,2023 H1,3969,억원,MSS 2026-08-19
sectors_detail,화학·소재,2024 H1,4871,억원,MSS 2026-08-19
sectors_detail,화학·소재,2025 H1,5516,억원,MSS 2026-08-19
sectors_detail,화학·소재,2026 H1,6306,억원,MSS 2026-08-19
sectors_detail,바이오·의료,2022 H1,13159,억원,MSS 2026-08-19
sectors_detail,바이오·의료,2023 H1,5995,억원,MSS 2026-08-19
sectors_detail,바이오·의료,2024 H1,8527,억원,MSS 2026-08-19
sectors_detail,바이오·의료,2025 H1,9793,억원,MSS 2026-08-19
sectors_detail,바이오·의료,2026 H1,15041,억원,MSS 2026-08-19
sectors_detail,영상·공연·음반,2022 H1,4645,억원,MSS 2026-08-19
sectors_detail,영상·공연·음반,2023 H1,3652,억원,MSS 2026-08-19
sectors_detail,영상·공연·음반,2024 H1,1651,억원,MSS 2026-08-19
sectors_detail,영상·공연·음반,2025 H1,2316,억원,MSS 2026-08-19
sectors_detail,영상·공연·음반,2026 H1,3060,억원,MSS 2026-08-19
sectors_detail,게임,2022 H1,1727,억원,MSS 2026-08-19
sectors_detail,게임,2023 H1,730,억원,MSS 2026-08-19
sectors_detail,게임,2024 H1,885,억원,MSS 2026-08-19
sectors_detail,게임,2025 H1,1788,억원,MSS 2026-08-19
sectors_detail,게임,2026 H1,424,억원,MSS 2026-08-19
sectors_detail,유통·서비스,2022 H1,11105,억원,MSS 2026-08-19
sectors_detail,유통·서비스,2023 H1,4179,억원,MSS 2026-08-19
sectors_detail,유통·서비스,2024 H1,4539,억원,MSS 2026-08-19
sectors_detail,유통·서비스,2025 H1,5522,억원,MSS 2026-08-19
sectors_detail,유통·서비스,2026 H1,8598,억원,MSS 2026-08-19
sectors_detail,기타,2022 H1,7217,억원,MSS 2026-08-19
sectors_detail,기타,2023 H1,5521,억원,MSS 2026-08-19
sectors_detail,기타,2024 H1,6410,억원,MSS 2026-08-19
sectors_detail,기타,2025 H1,8299,억원,MSS 2026-08-19
sectors_detail,기타,2026 H1,9835,억원,MSS 2026-08-19
regions,수도권,2022 H1,30614,억원,MSS 2026-08-19
regions,수도권,2023 H1,15133,억원,MSS 2026-08-19
regions,수도권,2024 H1,18746,억원,MSS 2026-08-19
regions,수도권,2025 H1,20658,억원,MSS 2026-08-19
regions,수도권,2026 H1,30972,억원,MSS 2026-08-19
regions,비수도권,2022 H1,7025,억원,MSS 2026-08-19
regions,비수도권,2023 H1,4828,억원,MSS 2026-08-19
regions,비수도권,2024 H1,6526,억원,MSS 2026-08-19
regions,비수도권,2025 H1,5201,억원,MSS 2026-08-19
regions,비수도권,2026 H1,10647,억원,MSS 2026-08-19
regions,해외,2022 H1,3893,억원,MSS 2026-08-19
regions,해외,2023 H1,2080,억원,MSS 2026-08-19
regions,해외,2024 H1,2720,억원,MSS 2026-08-19
regions,해외,2025 H1,2095,억원,MSS 2026-08-19
regions,해외,2026 H1,3672,억원,MSS 2026-08-19
regions,전체,2022 H1,41529,억원,MSS 2026-08-19
regions,전체,2023 H1,22041,억원,MSS 2026-08-19
regions,전체,2024 H1,27992,억원,MSS 2026-08-19
regions,전체,2025 H1,27955,억원,MSS 2026-08-19
regions,전체,2026 H1,45291,억원,MSS 2026-08-19
regions,대전,2022 H1,2167,억원,MSS 2026-08-19
regions,대전,2023 H1,1627,억원,MSS 2026-08-19
regions,대전,2024 H1,1979,억원,MSS 2026-08-19
regions,대전,2025 H1,1780,억원,MSS 2026-08-19
regions,대전,2026 H1,4359,억원,MSS 2026-08-19
fund_sources,정책금융,2022 H1,10803,억원,MSS 2026-08-19
fund_sources,정책금융,2023 H1,6751,억원,MSS 2026-08-19
fund_sources,정책금융,2024 H1,9232,억원,MSS 2026-08-19
fund_sources,정책금융,2025 H1,10278,억원,MSS 2026-08-19
fund_sources,정책금융,2026 H1,16274,억원,MSS 2026-08-19
fund_sources,민간부문,2022 H1,76118,억원,MSS 2026-08-19
fund_sources,민간부문,2023 H1,40252,억원,MSS 2026-08-19
fund_sources,민간부문,2024 H1,42703,억원,MSS 2026-08-19
fund_sources,민간부문,2025 H1,53153,억원,MSS 2026-08-19
fund_sources,민간부문,2026 H1,68092,억원,MSS 2026-08-19
cpi_annual,CPI,2020,100.0,2020=100,ECOS 901Y009 / 0
cpi_annual,CPI,2021,102.5,2020=100,ECOS 901Y009 / 0
cpi_annual,CPI,2022,107.72,2020=100,ECOS 901Y009 / 0
